from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
AmeR,Repression,pAmeR,3,-,,0.44;0.8;0.88
HlyIIR,Repression,pHlyIIR,3,-,,0.56;0.78;0.24
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
LitR,Repression,pLitR,3,-,,0.61;0.33;0.63
BM3R1,Repression,pBM3R1,3,-,,0.93;0.18;0.17
