from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
BetI,Repression,pBetI,3,-,,0.33;0.33;0.64
LitR,Repression,pLitR,3,-,,0.61;0.33;0.63
AmeR,Repression,pAmeR,3,-,,0.44;0.8;0.88
BM3R1,Repression,pBM3R1,3,-,,0.93;0.18;0.17
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
