from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
M7,Repression,PM7,3,-,,0.56;0.78;0.24
M4,Repression,PM4,3,-,,0.91;0.24;0.59
M3,Repression,PM3,3,-,,0.56;0.78;0.24
M5,Repression,PM5,3,-,,0.33;0.33;0.64
M2,Repression,PM2,3,-,,0.93;0.18;0.17
