from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
LitR,Repression,pLitR,3,-,,0.61;0.33;0.63
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
