from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
TP901,Repression,pTP901,3,-,,0.44;0.8;0.88
P22,Repression,pP22,3,-,,0.93;0.18;0.17
933W,Repression,p933W,3,-,,0.59;0.21;0.81
Wphi,Repression,pWphi,3,-,,0.83;0.47;0.61
P2,Repression,pP2,3,-,,0.79;0.19;0.78
P2hd,Repression,pP2hd,3,-,,0.15;0.07;0.22
Lambda,Repression,pLambda,3,-,,0.23;0.66;0.88
