from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
QacR,Repression,pQacR,3,-,,0.4;0.74;0.27
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
