from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
