from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
QacR,Repression,pQacR,3,-,,0.4;0.74;0.27
PsrA,Repression,pPsrA,3,-,,0.76;0.29;0.61
BM3R1,Repression,pBM3R1,3,-,,0.93;0.18;0.17
IcaRA,Repression,pIcaRA,3,-,,0.91;0.24;0.59
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
AmeR,Repression,pAmeR,3,-,,0.44;0.8;0.88
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
