from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
Wphi,Repression,pWphi,3,-,,0.83;0.47;0.61
P2,Repression,pP2,3,-,,0.79;0.19;0.78
Lambda,Repression,pLambda,3,-,,0.23;0.66;0.88
