from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
IcaRA,Repression,pIcaRA,3,-,,0.91;0.24;0.59
AmeR,Repression,pAmeR,3,-,,0.44;0.8;0.88
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
QacR,Repression,pQacR,3,-,,0.4;0.74;0.27
LitR,Repression,pLitR,3,-,,0.61;0.33;0.63
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
