from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
IcaRA,Repression,pIcaRA,3,-,,0.91;0.24;0.59
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
