from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
SrpR,Repression,pSrpR,3,-,,0.0;0.41;0.22
QacR,Repression,pQacR,3,-,,0.4;0.74;0.27
BM3R1,Repression,pBM3R1,3,-,,0.93;0.18;0.17
BetI,Repression,pBetI,3,-,,0.33;0.33;0.64
IcaRA,Repression,pIcaRA,3,-,,0.91;0.24;0.59
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
